participant_id	original_participant_id	species	sex
sub-RatR1	sub-RatR1	Rattus norvegicus	M
sub-RatR2	sub-RatR2	Rattus norvegicus	M
sub-RatR3	sub-RatR3	Rattus norvegicus	M
sub-RatR4	sub-RatR4	Rattus norvegicus	M
sub-RatR5	sub-RatR5	Rattus norvegicus	M
sub-RatR6	sub-RatR6	Rattus norvegicus	M
sub-RatR7	sub-RatR7	Rattus norvegicus	M
